hospitalDrugCode,name,genericName,dosageForm,strength,unit,currentStock,packageSize,pricePerBox,expiryDate,category,notes
TAB340,Potassium Chloride(EC),Potassium Chloride(EC),TAB,500,mg,3,500,428.00,2027-8-8,MODERN,500 mg
TAB342,Methylphenidate(Ritalin),Methylphenidate(Ritalin),TAB,10,mg,86,100,200.00,2027-8-1,MODERN,10 mg
TAB344,Ezetimibe(Ezetrol),Ezetimibe(Ezetrol),TAB,10,mg,80,30,89.88,2028-3-5,MODERN,10 mg
TAB345,Medroxyprogesterone(Provera),Medroxyprogesterone(Provera),TAB,10,mg,1,100,1380.30,2025-9-30,MODERN,10 mg
TAB346,Zolpidem,Zolpidem,TAB,10,mg,7,20,60.00,2027-9-30,MODERN,10 mg
TAB347,Aripiprazole(Abilify),Aripiprazole(Abilify),TAB,10,mg,2,30,3819.90,2027-5-31,MODERN,10 mg
TAB348,Escitalopram(Lexapro),Escitalopram(Lexapro),TAB,20,mg,2,28,606.69,2026-2-1,MODERN,20 mg
TAB349,Febuxostat,Febuxostat,TAB,80,mg,4,30,790.00,2027-1-20,MODERN,80 mg
TAB350,Quetiapine fumarate,Quetiapine fumarate,TAB,200,mg,30,30,428.00,2026-3-31,MODERN,200 mg
TAB355,TAF(Tenofovir alafenamide)Mytaff,TAF(Tenofovir alafenamide)Mytaff,TAB,25,mg,162,30,240.00,2028-1-31,MODERN,25 mg
TUR001,Symbicort60dose(Formoterol+Budesonide),Symbicort60dose(Formoterol+Budesonide),TUR,4.5,+160 mcg,40,1,409.81,2026-9-30,MODERN,4.5+160 mcg
